INPerryMeridian,inpmh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
45,TechnoKats Robotics Team,0.53,0.00,0.13,0.13,0.19,0.00,11.23,0.19,-1.00,-1.00,3.74,11.89,-0.03,0.54,0.08,0.33,0.34,0.07,-0.14,16.87,-0.05,-1.00,-1.00,25.48,0.23,-0.07,0.01,8.53,0.42,-1.00,-1.00,0.00,-0.14,0.06,0.14,0.08,-0.13,2.30,-2.64,28.11,0.61,0.13,-1.00,-1.00,0.21,34.74,20.85,-0.16,-60.71,1325,,,,,
71,Team Hammond,4.89,0.00,0.02,0.02,0.43,0.00,25.60,0.43,-1.00,-1.00,8.53,30.51,-0.04,2.94,0.91,0.33,0.33,0.38,0.41,41.12,4.23,-1.00,-1.00,84.92,0.25,0.23,0.37,42.89,0.75,-1.00,-1.00,0.00,0.41,-0.15,0.03,0.04,0.51,0.31,12.96,66.72,1.45,4.66,-1.00,-1.00,0.93,128.40,169.28,0.42,62.05,1628,,,,,
135,Penn Robotics,5.42,0.00,0.42,0.42,0.29,0.00,17.68,0.29,-1.00,-1.00,5.89,23.51,-0.02,3.84,1.14,0.33,0.34,0.43,0.01,32.44,2.14,-1.00,-1.00,93.23,0.38,0.40,0.41,59.65,1.00,-1.00,-1.00,0.00,0.01,0.07,-0.27,-0.05,0.01,-0.82,-1.10,50.12,1.11,2.44,-1.00,-1.00,1.56,115.65,116.66,0.50,59.87,1635,,,,,
234,Cyber Blue,4.29,0.00,0.63,0.63,0.46,0.00,27.60,0.46,-1.00,-1.00,9.20,32.52,0.08,2.18,0.71,0.33,0.34,0.40,0.27,35.77,3.48,-1.00,-1.00,80.67,0.29,0.40,0.20,44.20,0.89,-1.00,-1.00,0.00,0.27,0.05,0.18,-0.05,0.17,-1.10,5.19,63.37,1.35,3.94,-1.00,-1.00,1.34,118.38,145.87,0.61,50.44,1605,,,,,
292,PantherTech,5.05,0.00,-0.20,-0.20,0.16,0.00,9.55,0.16,-1.00,-1.00,3.18,14.40,-0.03,-0.71,-0.21,0.33,0.35,0.38,-0.11,32.17,1.43,-1.00,-1.00,58.67,0.21,0.06,0.27,26.71,0.83,-1.00,-1.00,0.00,-0.11,-0.18,0.39,-0.03,0.22,-1.73,7.42,41.71,0.96,1.59,-1.00,-1.00,-0.41,80.48,69.74,-0.04,-17.09,1482,,,,,
447,Team Roboto,4.53,0.00,0.36,0.36,0.24,0.00,14.52,0.24,-1.00,-1.00,4.84,19.41,-0.02,0.53,0.07,0.33,0.35,0.16,-0.03,22.77,0.90,-1.00,-1.00,39.77,0.18,0.15,0.01,16.94,0.50,-1.00,-1.00,0.00,-0.03,-0.04,0.68,0.55,-0.11,13.64,0.79,37.29,0.81,1.14,-1.00,-1.00,0.43,59.97,56.95,-0.15,-57.60,1390,,,,,
829,Digital Goats,3.71,0.00,0.97,0.97,0.27,0.00,16.07,0.27,-1.00,-1.00,5.36,20.74,-0.02,-1.36,-0.46,0.33,0.25,0.28,0.23,32.64,2.70,-1.00,-1.00,91.75,0.49,0.40,0.30,59.57,1.00,-1.00,-1.00,0.00,0.23,-0.10,0.18,0.17,-0.09,3.80,-1.29,48.70,1.08,2.96,-1.00,-1.00,0.51,111.21,133.82,0.30,17.93,1465,,,,,
868,TechHOUNDS,5.31,0.00,0.16,0.16,0.14,0.00,8.18,0.14,-1.00,-1.00,2.73,13.65,-0.03,-1.33,-0.36,0.33,0.34,0.24,0.11,35.56,2.17,-1.00,-1.00,56.09,0.11,0.13,0.18,20.88,0.67,-1.00,-1.00,0.00,0.11,-0.02,0.28,-0.13,-0.01,-3.39,1.05,43.74,1.03,2.31,-1.00,-1.00,-0.20,70.78,81.79,-0.02,-14.41,1496,,,,,
1018,Pike RoboDevils,3.71,0.00,-0.53,-0.53,0.00,0.00,0.23,0.00,-1.00,-1.00,0.08,3.41,-0.02,-1.03,-0.30,0.33,0.33,0.38,0.18,49.05,3.28,-1.00,-1.00,87.61,0.31,0.11,0.35,38.85,0.76,-1.00,-1.00,0.00,0.18,-0.00,-0.19,0.13,-0.05,3.19,-2.10,49.28,1.23,3.28,-1.00,-1.00,-0.82,88.92,107.07,0.24,3.35,1537,,,,,
